Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
other-unroll;16;176;16;32;500;141113792;64635196334.349998;231;1.091617;133311776;543.902877
vector_optimized;16;176;16;32;500;141113792;61098253167.849998;231;1.154810;133311776;514.479963
combined;16;176;16;32;500;141113792;45923879894.900002;231;1.536388;133311776;386.662917
Baseline;16;192;16;32;500;167855312;99113831818.100006;356;0.846780;158430624;834.468847
jc-reordered;16;192;16;32;500;167855312;96449914989.899994;356;0.870168;158430624;812.002126
scalar-reorder;16;192;16;32;500;167855312;90734286984.149994;356;0.924983;158430624;763.933983
scalar-blocking;16;192;16;32;500;167855312;66865853289.050003;356;1.255165;158430624;562.973620
other-unroll;16;192;16;32;500;167855312;84625853564.050003;356;0.991750;158430624;712.506109
vector_optimized;16;192;16;32;500;167855312;87502287306.500000;356;0.959148;158430624;736.728721
combined;16;192;16;32;500;167855312;58198780628.900002;356;1.442086;158430624;490.122857
Baseline;16;208;16;32;500;196915680;100492115884.300003;203;0.979757;185716256;845.752604
jc-reordered;16;208;16;32;500;196915680;91338665400.500000;203;1.077943;185716256;769.016471
scalar-reorder;16;208;16;32;500;196915680;85376124186.800003;203;1.153225;185716256;718.820983
scalar-blocking;16;208;16;32;500;196915680;70986261834.100006;203;1.386999;185716256;597.670219
other-unroll;16;208;16;32;500;196915680;93853657236.750000;203;1.049057;185716256;790.280540
vector_optimized;16;208;16;32;500;196915680;84440718860.649994;203;1.166000;185716256;710.952528
combined;16;208;16;32;500;196915680;66983327197.250000;203;1.469886;185716256;563.961488
Baseline;16;224;16;32;500;228294896;134659576373.600006;116;0.847674;215168672;1133.768994
jc-reordered;16;224;16;32;500;228294896;123576360092.399994;116;0.923700;215168672;1040.444724
scalar-reorder;16;224;16;32;500;228294896;118665718674.300003;116;0.961924;215168672;999.097013
scalar-blocking;16;224;16;32;500;228294896;86014080514.600006;116;1.327079;215168672;724.197496
other-unroll;16;224;16;32;500;228294896;115672154594.000000;116;0.986819;215168672;973.880806
vector_optimized;16;224;16;32;500;228294896;107704140885.750000;116;1.059824;215168672;906.877327
combined;16;224;16;32;500;228294896;82983329516.449997;116;1.375547;215168672;698.582303
Baseline;16;240;16;32;500;261992960;143533140367.500000;206;0.912657;246787872;1208.472518
jc-reordered;16;240;16;32;500;261992960;127052806653.399994;206;1.031040;246787872;1069.838773
scalar-reorder;16;240;16;32;500;261992960;117676741382.649994;206;1.113189;246787872;990.784972
scalar-blocking;16;240;16;32;500;261992960;93012807053.949997;206;1.408370;246787872;783.122072
other-unroll;16;240;16;32;500;261992960;125771071397.449997;206;1.041547;246787872;1058.923248
vector_optimized;16;240;16;32;500;261992960;111522007754.750000;206;1.174624;246787872;938.970196
combined;16;240;16;32;500;261992960;88976867992.449997;206;1.472253;246787872;749.148880
Baseline;16;256;16;32;500;298009872;246427608526.549988;203;0.604660;280573856;2074.791872
jc-reordered;16;256;16;32;500;298009872;222284676973.200012;203;0.670334;280573856;1871.447646
scalar-reorder;16;256;16;32;500;298009872;214897643642.899994;203;0.693376;280573856;1809.315308
scalar-blocking;16;256;16;32;500;298009872;141685656990.750000;203;1.051659;280573856;1193.012905
other-unroll;16;256;16;32;500;298009872;175496732667.899994;203;0.849047;280573856;1477.591435
vector_optimized;16;256;16;32;500;298009872;207716626835.750000;203;0.717347;280573856;1748.855596
combined;16;256;16;32;500;298009872;115373564983.250000;203;1.291500;280573856;971.382716
