K,N,M,T,Baseline Cycles,Baseline Performance,WIP Scalar Cycles,WIP Scalar Performance,Josua Cycles,Josua Performance
8,8,16,28,451564.000000,0.640000,380719.000000,0.750000,403932.000000,0.710000
8,8,20,4,64714.000000,0.650000,56729.000000,0.740000,56160.000000,0.750000
8,8,20,8,137836.000000,0.600000,105451.000000,0.790000,112100.000000,0.740000
8,8,20,12,188777.000000,0.660000,153867.000000,0.810000,154202.000000,0.800000
8,8,20,16,249784.000000,0.660000,209744.000000,0.790000,222128.000000,0.740000
8,8,20,20,340324.000000,0.610000,274994.000000,0.750000,272020.000000,0.760000
8,8,20,24,408784.000000,0.600000,304158.000000,0.810000,304701.000000,0.810000
8,8,20,28,444197.000000,0.650000,361950.000000,0.800000,362895.000000,0.790000
8,8,24,4,76776.000000,0.560000,61479.000000,0.700000,61209.000000,0.700000
8,8,24,8,137758.000000,0.610000,122558.000000,0.690000,113099.000000,0.740000
8,8,24,12,218270.000000,0.570000,164857.000000,0.760000,168333.000000,0.740000
8,8,24,16,267775.000000,0.620000,244471.000000,0.680000,225133.000000,0.740000
8,8,24,20,375977.000000,0.550000,300764.000000,0.690000,303713.000000,0.680000
8,8,24,24,445131.000000,0.560000,353448.000000,0.700000,347382.000000,0.710000
8,8,24,28,543049.000000,0.530000,396744.000000,0.730000,409914.000000,0.710000
8,8,28,4,77149.000000,0.570000,71571.000000,0.620000,67105.000000,0.660000
8,8,28,8,156569.000000,0.540000,124940.000000,0.680000,122344.000000,0.700000
8,8,28,12,214776.000000,0.590000,177863.000000,0.710000,182346.000000,0.690000
8,8,28,16,286146.000000,0.580000,245278.000000,0.680000,239473.000000,0.700000
8,8,28,20,399164.000000,0.520000,346286.000000,0.600000,332864.000000,0.630000
8,8,28,24,472322.000000,0.530000,378071.000000,0.660000,370965.000000,0.670000
8,8,28,28,554274.000000,0.520000,452009.000000,0.640000,485655.000000,0.600000
8,12,4,4,80918.000000,0.990000,64556.000000,1.240000,65669.000000,1.220000
8,12,4,8,162600.000000,1.040000,124022.000000,1.370000,127292.000000,1.330000
8,12,4,12,244052.000000,1.060000,188931.000000,1.370000,191716.000000,1.350000
8,12,4,16,321786.000000,1.080000,251688.000000,1.380000,252831.000000,1.370000
8,12,4,20,411563.000000,1.060000,320545.000000,1.360000,320115.000000,1.360000
8,12,4,24,500705.000000,1.050000,392436.000000,1.340000,390166.000000,1.350000
8,12,4,28,590127.000000,1.040000,472594.000000,1.300000,472308.000000,1.300000
8,12,8,4,89904.000000,0.910000,72516.000000,1.130000,72962.000000,1.120000
8,12,8,8,185534.000000,0.920000,142959.000000,1.200000,145313.000000,1.180000
8,12,8,12,275129.000000,0.950000,219614.000000,1.180000,221571.000000,1.170000
8,12,8,16,355746.000000,0.980000,281414.000000,1.240000,282432.000000,1.240000
8,12,8,20,437300.000000,1.000000,351303.000000,1.250000,352202.000000,1.240000
8,12,8,24,537816.000000,0.980000,429590.000000,1.230000,423525.000000,1.250000
8,12,8,28,633487.000000,0.970000,516387.000000,1.190000,509217.000000,1.210000
8,12,12,4,97020.000000,0.860000,79547.000000,1.050000,80971.000000,1.030000
8,12,12,8,199226.000000,0.870000,157215.000000,1.100000,160369.000000,1.080000
8,12,12,12,292772.000000,0.890000,236644.000000,1.110000,234290.000000,1.120000
